image,u2net_time,sf_time,u2net_mae,u2net_precision,u2net_recall,u2net_f_measure,u2net_iou,u2net_s_measure,u2net_sr,u2net_so,sf_mae,sf_precision,sf_recall,sf_f_measure,sf_iou,sf_s_measure,sf_sr,sf_so
ILSVRC2012_test_00000003.jpg,0.08020377159118652,2.8527491092681885,0.18558047711849213,0.4913327358851642,0.8968498784815401,0.5485730192134047,0.4650525907613628,0.9784058123792463,0.9780872676096273,0.9787243571488654,0.13467803597450256,0.9960058097294917,0.2564030659935238,0.5979642378122154,0.25613969558303473,0.9856085704221645,0.9856220059197635,0.9855951349245656
ILSVRC2012_test_00000023.jpg,0.12122702598571777,2.8040449619293213,0.02689189836382866,0.8631578947362596,0.9723320158095375,0.8861180310403994,0.8424657534241027,0.9983012198268144,0.9986145092870194,0.9979879303666095,0.12617304921150208,0.0,0.0,0.0,0.0,0.9851134647573976,0.9853507945732329,0.9848761349415623
ILSVRC2012_test_00000025.jpg,0.12205100059509277,2.899437665939331,0.012542014010250568,0.9424969987983882,0.981620405100048,0.9512461012978535,0.926153120206528,0.9996322400139026,0.9996573740882492,0.999607105939556,0.04522433131933212,0.9534087016068743,0.34796199049718934,0.6802609700144974,0.3421440865498621,0.9958442586571674,0.9958796338775364,0.9958088834367983
ILSVRC2012_test_00000026.jpg,0.12122344970703125,3.138963460922241,0.24324050545692444,0.9821776013689919,0.29142804359867647,0.634902195805943,0.28989502216702506,0.9703343397482186,0.9705538125210463,0.9701148669753908,0.35740089416503906,0.12816577129667903,0.011569370035098012,0.03853799776270512,0.0107252954272969,0.9561376870397224,0.9565072424722212,0.9557681316072235
ILSVRC2012_test_00000034.jpg,0.122528076171875,2.9356353282928467,0.1123734563589096,0.5320661969521442,0.9414356952331314,0.5914124265398744,0.515019825535126,0.9886524097756312,0.9888271537334874,0.988477665817775,0.5325883030891418,0.06243103808188018,0.24278093470935708,0.07534765865711206,0.05225585023400284,0.9431617935973936,0.9437934125658782,0.942530174628909
ILSVRC2012_test_00000038.jpg,0.12114930152893066,2.9028308391571045,0.018836619332432747,0.9663047547716842,0.7300240418600905,0.8991464813410506,0.7119018066463771,0.9985541892580146,0.9988109168211877,0.9982974616948416,0.14030353724956512,0.06915887850445745,0.03139584217220846,0.0541331278772626,0.022069788249307016,0.9908860921141187,0.9912683948128895,0.9905037894153479
ILSVRC2012_test_00000064.jpg,0.12227320671081543,3.589778423309326,0.02967814914882183,0.9571215510803904,0.735899089800949,0.8950308014342331,0.7124124054667922,0.9971890922758455,0.9972262636592465,0.9971519208924446,0.1785748451948166,0.019706367276423248,0.017988962947023585,0.019281557149046395,0.009493551193309318,0.9821648848792428,0.9823054113943308,0.9820243583641548
ILSVRC2012_test_00000086.jpg,0.12094879150390625,3.0071821212768555,0.020121492445468903,0.9270935960584609,0.941470735367011,0.9303722781829019,0.8765719608750572,0.9991088442963463,0.999169858556382,0.9990478300363106,0.31359902024269104,0.00026715517899386794,0.0005002501250621738,0.0002993379324727549,0.00017418134766592662,0.9661637338776372,0.9666180316259063,0.965709436129368
ILSVRC2012_test_00000105.jpg,0.1260814666748047,3.0411624908447266,0.08960526436567307,0.6047501604781902,0.9768076398357561,0.6630290712487524,0.5961897148945523,0.9906613130553379,0.9907549389876101,0.9905676871230658,0.1771344095468521,0.020081967213073603,0.005347885402452743,0.012276549070111052,0.004241139048771264,0.9785809934659506,0.9788818109150828,0.9782801760168185
ILSVRC2012_test_00000128.jpg,0.12216949462890625,2.461775779724121,0.17312836647033691,0.9693556443554023,0.7090557006885934,0.8936482517414451,0.6935103455668274,0.980972341572503,0.9808510022845712,0.9810936808604348,0.4981708228588104,0.9999999999919095,0.022579879062455913,0.0909971259103904,0.022579879062455913,0.9341469370643447,0.9339539510303658,0.9343399230983236
ILSVRC2012_test_00000131.jpg,0.12136983871459961,2.7374613285064697,0.09591309726238251,0.7092822966493603,0.26283687943243766,0.509550491665633,0.23727511364348722,0.9898950599976539,0.9901255865462558,0.989664533449052,0.08775636553764343,0.7227581279021769,0.5739007092194511,0.6819395738982409,0.470355731225023,0.9928093311717048,0.9932522718989915,0.9923663904444182
ILSVRC2012_test_00000138.jpg,0.12165307998657227,2.672152042388916,0.00923021137714386,0.8052738336693579,0.9615501059613638,0.8366532180331987,0.7801522967310731,0.9992654165126652,0.9992836960251549,0.9992471370001755,0.037891704589128494,0.04724409448765755,0.012715712988154056,0.029044087288624103,0.010120481927686458,0.9956592519569151,0.9957779686792244,0.9955405352346057
ILSVRC2012_test_00000142.jpg,0.12136173248291016,2.854820966720581,0.14010098576545715,0.9965328136328416,0.7320382208015828,0.9198369650890927,0.7301784973016637,0.9833630280780946,0.9832680860833228,0.9834579700728664,0.47778084874153137,0.9963408259226538,0.031728592355834376,0.12429644563005023,0.03172489555418171,0.9378611985489298,0.9369958098363464,0.938726587261513
ILSVRC2012_test_00000153.jpg,0.12169528007507324,3.087026596069336,0.025554632768034935,0.9034957940563455,0.9924316292886695,0.9225747899127128,0.8973131821994553,0.9978883043398581,0.9978961281162235,0.9978804805634925,0.09112904220819473,0.7483710828416856,0.6719598829917481,0.7292347326119002,0.5481195318711707,0.9907780691593118,0.9908243952642041,0.9907317430544194
ILSVRC2012_test_00000184.jpg,0.12172150611877441,2.8686747550964355,0.07468005269765854,0.8195955478912621,0.9449806600871399,0.8454840091312645,0.7822665110570123,0.994133953416098,0.9942209671456044,0.9940469396865915,0.21938666701316833,0.8718303365566076,0.0683584571448981,0.23484174719687204,0.0676783221788527,0.9733574296874479,0.973234410946775,0.9734804484281206
ILSVRC2012_test_00000196.jpg,0.12122011184692383,2.8478076457977295,0.03434988483786583,0.9260942594596125,0.699008128868149,0.861507234687558,0.6620752984384671,0.9975999391172523,0.9977414700524331,0.9974584081820717,0.10634902119636536,0.9999999999950885,0.15183831754780233,0.43685938260944535,0.15183831754780233,0.9891315248639279,0.9893483312930245,0.9889147184348313
ILSVRC2012_test_00000201.jpg,0.12119340896606445,2.7948317527770996,0.028699249029159546,0.8577832469008897,0.8755607392778794,0.8618213607958863,0.764572234408677,0.9979755928571221,0.9980165898417891,0.9979345958724553,0.15079471468925476,0.01161946259983788,0.007177462766905457,0.01016736102662974,0.004456576235304742,0.9846646098733796,0.9847339762078609,0.9845952435388984
ILSVRC2012_test_00000205.jpg,0.12117600440979004,2.849363327026367,0.2858029007911682,0.9998697068400652,0.4594040438809795,0.7863773935707591,0.4593765433021865,0.9668083753817662,0.9668832650906446,0.966733485672888,0.5571355223655701,0.9999999999957664,0.03535028510707824,0.13703691724650946,0.03535028510707824,0.9341995329088459,0.9345862252523939,0.9338128405652981
ILSVRC2012_test_00000215.jpg,0.1214139461517334,2.9357802867889404,0.010341826826334,0.9425989252541705,0.8788430881328197,0.9270785128898694,0.8341980112390095,0.9996346982670308,0.9996612339807068,0.9996081625533546,0.19929982721805573,0.06297156123035115,0.14825780004521008,0.07261073926605646,0.04624236397212229,0.9890893145057875,0.9891383291367125,0.9890402998748624
ILSVRC2012_test_00000224.jpg,0.12143683433532715,2.5946507453918457,0.02132115699350834,0.8854009377724823,0.937084700142201,0.8968154132625143,0.8357212512183364,0.9984662691603565,0.9984902522137505,0.9984422861069624,0.12060686200857162,0.7213842058541219,0.20514761544267376,0.456366844391826,0.19008650923529724,0.987964969937914,0.9881118470913544,0.9878180927844736
ILSVRC2012_test_00000232.jpg,0.12198328971862793,2.7831952571868896,0.02956373617053032,0.9951677755538135,0.9637331936439736,0.9877329841078955,0.9592443254890752,0.9985414733828206,0.9985618168633077,0.9985211299023335,0.4455620050430298,0.941468801761781,0.029771258948833635,0.11670703080270824,0.02971625766870648,0.9440701505025539,0.9437304082630228,0.9444098927420851
ILSVRC2012_test_00000256.jpg,0.12087798118591309,3.528367519378662,0.0149526447057724,0.9949947862346246,0.8289462253489454,0.951032322338949,0.8255039363259576,0.9985223249355716,0.9985531082454868,0.9984915416256563,0.05796704441308975,0.9999999999962236,0.23004083050974714,0.5642076172367735,0.23004083050974714,0.9937713591190134,0.9938416122152326,0.9937011060227943
ILSVRC2012_test_00000259.jpg,0.12103509902954102,3.7293643951416016,0.027662836015224457,0.9290455979965947,0.7397105970013519,0.8772299993688674,0.7001558271133436,0.9982435087779998,0.9983976475805677,0.998089369975432,0.07022080570459366,0.5764533463577115,0.10224417294852937,0.2784382669760383,0.0950999355253908,0.9920086695919961,0.9922988118425674,0.9917185273414247
ILSVRC2012_test_00000262.jpg,0.12149310111999512,2.697446823120117,0.2662803530693054,0.6562775890203976,0.5803132096894918,0.6370339066984199,0.44504716981124004,0.9713994292348733,0.9724408709625435,0.970357987507203,0.5209075808525085,0.02736085638356576,0.017292770628307794,0.024120136942637104,0.010709367400156655,0.9405104197475188,0.9412027986014964,0.9398180408935413
ILSVRC2012_test_00000278.jpg,0.12127184867858887,3.1517419815063477,0.031220851466059685,0.9411954557184732,0.9022896039598376,0.931922312683385,0.8541385976211973,0.9982864286083415,0.9984296885424366,0.9981431686742464,0.09250466525554657,0.9999999999971696,0.21862623762362707,0.5480133529929505,0.21862623762362707,0.9903247980244545,0.9905324260995378,0.9901171699493712
ILSVRC2012_test_00000284.jpg,0.12149524688720703,3.084751844406128,0.03212709724903107,0.9557803369439375,0.9312445894649626,0.9500041726707651,0.892779622063045,0.9982602448325804,0.9984400382938,0.9980804513713608,0.20656456053256989,0.9967426710032786,0.05094226543249286,0.1886166163907091,0.050933786078081515,0.9743713420329658,0.9743023254775149,0.9744403585884166
ILSVRC2012_test_00000307.jpg,0.12164855003356934,2.7813382148742676,0.07092365622520447,0.9932544052858878,0.7284690202939021,0.9163873954468913,0.724882786335993,0.992141728022479,0.9928564946078796,0.9914269614370784,0.2073531448841095,0.9745706737104118,0.19863359472278172,0.5125351434365025,0.19760940168071864,0.9751462709781933,0.9756608325701502,0.9746317093862364
ILSVRC2012_test_00000311.jpg,0.12104368209838867,2.8549599647521973,0.196747824549675,0.9371962770774778,0.6740018955099109,0.8597229881627322,0.6448751735667425,0.9851122653541102,0.985373373612267,0.9848511570959535,0.5183320641517639,0.9972375690538866,0.02138372230778027,0.08648140370756749,0.021382455724690313,0.9361822599532885,0.9365931161179082,0.9357714037886689
ILSVRC2012_test_00000320.jpg,0.12152767181396484,2.787487745285034,0.06529080867767334,0.8799230840513206,0.962007041361424,0.8975972643627991,0.8503716639797487,0.9944563861013063,0.9947391800022983,0.9941735922003143,0.3533293902873993,0.0,0.0,0.0,0.0,0.9550146601884384,0.9555947913128322,0.9544345290640446
ILSVRC2012_test_00000324.jpg,0.12141895294189453,2.9046738147735596,0.0466059185564518,0.8719718676733055,0.8320904797409693,0.8624328584013349,0.7414996123597621,0.9966456835869911,0.9967197608102613,0.996571606363721,0.12058735638856888,0.6312184571008997,0.3264354958983803,0.5193237716431813,0.2741506184435707,0.9877332035701103,0.9877597205198191,0.9877066866204015
